Categories,Space_Lower_Limit,Space_Upper_Limit,PCT_Space_Lower_Limit,PCT_Space_Upper_Limit
ADIDAS,0.0,1.5,0.0,0.231
CARTERS,0.0,1.5,0.0,0.167
CHAPS,0.0,1.0,0.0,0.091
HURLEY - HAWK,0.25,2.0,0.028,0.182
JUMPING BEANS,0.0,1.5,0.0,0.136
JUMPING BEANS ACTIVE,0.5,1.0,0.056,0.154
LEE DENIM,0.0,1.0,0.0,0.154
LEVI DENIM,0.5,1.0,0.031,0.154
LICENSED CHARACTER - JBD,0.0,3.5,0.0,0.219
NIKE,1.0,3.0,0.091,0.4
OSHKOSH,0.0,1.0,0.0,0.077
OUTERWEAR,0.0,0.5,0.0,0.045
SONOMA,0.0,1.0,0.0,0.091
SONOMA DENIM,0.0,1.0,0.0,0.133
SWIMWEAR,0.0,0.5,0.0,0.045
